request_schema,request_id,core_alias,layer,attention_head,canonical_edge_id,canonical_shell_candidate_index,shell_candidate_count,source_node,receiver_node,source_feature,source_feature_index,source_feature_name,target_feature,target_feature_index,target_feature_name,distance_um,radial_shell_index,radial_shell,graph_sha256,fixed_mask_seed,fixed_mask_sha256,assert_directed_edge,assert_shell_membership,assert_source_feature_observed,assert_target_feature_masked,assert_feature_indices_distinct
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-01-shell-00,CAN-01,-1,mean,1463810,259033,358024,6497,6459,772,772,PTGES,234,234,COL27A1,32.457377099562528,0,"(0,50]",2e7f8a0dd7455b9836a733c2d08a68c0cf6bf1712203db1e7427b4c914f07bbf,9062727321619624136,a675760a6ef1ff082ec79881a5306bf4687fc7bb47f020bad0f3e2ef549471f8,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-01-shell-01,CAN-01,-1,mean,775926,290356,744708,3381,3446,224,224,COL11A1,884,884,STAT5A,51.998270654919729,1,"(50,150]",2e7f8a0dd7455b9836a733c2d08a68c0cf6bf1712203db1e7427b4c914f07bbf,9062727321619624136,a675760a6ef1ff082ec79881a5306bf4687fc7bb47f020bad0f3e2ef549471f8,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-01-shell-02,CAN-01,-1,mean,954533,232616,498570,3234,4228,213,213,CLEC2B,374,374,FGG,157.42081169802259,2,"(150,300]",2e7f8a0dd7455b9836a733c2d08a68c0cf6bf1712203db1e7427b4c914f07bbf,9062727321619624136,a675760a6ef1ff082ec79881a5306bf4687fc7bb47f020bad0f3e2ef549471f8,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-01-shell-03,CAN-01,-1,mean,639553,134303,426718,2275,2830,886,886,STAT6,915,915,TLR5,301.28217681036057,3,"(300,500]",2e7f8a0dd7455b9836a733c2d08a68c0cf6bf1712203db1e7427b4c914f07bbf,9062727321619624136,a675760a6ef1ff082ec79881a5306bf4687fc7bb47f020bad0f3e2ef549471f8,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-09-shell-00,CAN-09,-1,mean,2230139,378989,682282,9580,9613,198,198,CELSR2,529,529,IL2RA,31.420058741856895,0,"(0,50]",dc1039588dc93e52385d80d7421051224dcf68d52118192bb4c2d07b75a1e7a9,5946514512396399875,695291cbf3c51415ad86c512b57f6f933de7f47b8c52fa08300cc8663f33545a,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-09-shell-01,CAN-09,-1,mean,2124967,765814,1445292,4566,9157,712,712,NPR2,570,570,ITK,74.551906476275207,1,"(50,150]",dc1039588dc93e52385d80d7421051224dcf68d52118192bb4c2d07b75a1e7a9,5946514512396399875,695291cbf3c51415ad86c512b57f6f933de7f47b8c52fa08300cc8663f33545a,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-09-shell-02,CAN-09,-1,mean,1284354,331109,1024462,5069,5515,885,885,STAT5B,232,232,COL1A2,163.63826677103074,2,"(150,300]",dc1039588dc93e52385d80d7421051224dcf68d52118192bb4c2d07b75a1e7a9,5946514512396399875,695291cbf3c51415ad86c512b57f6f933de7f47b8c52fa08300cc8663f33545a,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-09-shell-03,CAN-09,-1,mean,3699589,778902,837976,12980,15938,238,238,COL4A5,705,705,NOD2,306.63592754942135,3,"(300,500]",dc1039588dc93e52385d80d7421051224dcf68d52118192bb4c2d07b75a1e7a9,5946514512396399875,695291cbf3c51415ad86c512b57f6f933de7f47b8c52fa08300cc8663f33545a,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-13-shell-00,CAN-13,-1,mean,303026,43252,158184,618,1323,796,796,RARRES2,397,397,GADD45B,8.2749481715850184,0,"(0,50]",0f9335d0bfc1f0234c5f0734ad1da820bd7b62b490a462752eea6bbb22d83755,7877201242438383962,8a66925cf1203ad9a44b3c4d59bcea9956c8cf417a03ba7dc572a5dc54c6ae5c,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-13-shell-01,CAN-13,-1,mean,791119,322553,489004,3613,3432,9,9,ACTA2,927,927,TNFRSF13B,82.56096952191939,1,"(50,150]",0f9335d0bfc1f0234c5f0734ad1da820bd7b62b490a462752eea6bbb22d83755,7877201242438383962,8a66925cf1203ad9a44b3c4d59bcea9956c8cf417a03ba7dc572a5dc54c6ae5c,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-13-shell-02,CAN-13,-1,mean,251947,62672,318092,832,1105,881,881,STAT1,513,513,IL18,165.58954696408682,2,"(150,300]",0f9335d0bfc1f0234c5f0734ad1da820bd7b62b490a462752eea6bbb22d83755,7877201242438383962,8a66925cf1203ad9a44b3c4d59bcea9956c8cf417a03ba7dc572a5dc54c6ae5c,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-13-shell-03,CAN-13,-1,mean,134064,27316,260136,813,588,340,340,ERBB3,86,86,BMP3,303.59613005680973,3,"(300,500]",0f9335d0bfc1f0234c5f0734ad1da820bd7b62b490a462752eea6bbb22d83755,7877201242438383962,8a66925cf1203ad9a44b3c4d59bcea9956c8cf417a03ba7dc572a5dc54c6ae5c,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-15-shell-00,CAN-15,-1,mean,781668,156432,1910292,3359,3427,446,446,HPGDS,650,650,MERTK,46.372030505999284,0,"(0,50]",47da2e3d0a3c28c50dd331748ddb726c441687b7c6b1bb68d2ce67483bf4550b,1005038933951219292,4a8ab2923fa13931f2d59c1bed1ca26f8080e5070fa48629869d4af7645a7715,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-15-shell-01,CAN-15,-1,mean,6619132,2165309,2819852,29447,29312,570,570,ITK,995,995,XKR4,56.175862907195985,1,"(50,150]",47da2e3d0a3c28c50dd331748ddb726c441687b7c6b1bb68d2ce67483bf4550b,1005038933951219292,4a8ab2923fa13931f2d59c1bed1ca26f8080e5070fa48629869d4af7645a7715,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-15-shell-02,CAN-15,-1,mean,1000731,243937,2090762,4217,4394,380,380,FLT3LG,438,438,HLA-DPB1,152.7116395419464,2,"(150,300]",47da2e3d0a3c28c50dd331748ddb726c441687b7c6b1bb68d2ce67483bf4550b,1005038933951219292,4a8ab2923fa13931f2d59c1bed1ca26f8080e5070fa48629869d4af7645a7715,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-15-shell-03,CAN-15,-1,mean,2803418,584282,1786556,11247,12326,695,695,NELL2,499,499,IL12A,302.74765929932158,3,"(300,500]",47da2e3d0a3c28c50dd331748ddb726c441687b7c6b1bb68d2ce67483bf4550b,1005038933951219292,4a8ab2923fa13931f2d59c1bed1ca26f8080e5070fa48629869d4af7645a7715,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-21-shell-00,CAN-21,-1,mean,739153,135975,215718,3107,3173,195,195,CEACAM1,592,592,KRT15,38.997763951030549,0,"(0,50]",8ec23d683ff445afcb342c4e6f0168fe628b915623e99a350a00cee43cbe2eaa,1375311813293012057,10421f7111fa72db4cf351ea0c6f077ba5f83f16a7a896540a061d142fef3a6b,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-21-shell-01,CAN-21,-1,mean,798010,280170,398932,3398,3431,720,720,NRXN3,677,677,MX1,68.153914818869083,1,"(50,150]",8ec23d683ff445afcb342c4e6f0168fe628b915623e99a350a00cee43cbe2eaa,1375311813293012057,10421f7111fa72db4cf351ea0c6f077ba5f83f16a7a896540a061d142fef3a6b,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-21-shell-02,CAN-21,-1,mean,704390,177939,284434,2612,3019,936,936,TNFRSF9,338,338,EPOR,156.80606379377295,2,"(150,300]",8ec23d683ff445afcb342c4e6f0168fe628b915623e99a350a00cee43cbe2eaa,1375311813293012057,10421f7111fa72db4cf351ea0c6f077ba5f83f16a7a896540a061d142fef3a6b,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-21-shell-03,CAN-21,-1,mean,503750,109508,238858,3185,2166,270,270,CTSG,307,307,DPP4,302.00894472386352,3,"(300,500]",8ec23d683ff445afcb342c4e6f0168fe628b915623e99a350a00cee43cbe2eaa,1375311813293012057,10421f7111fa72db4cf351ea0c6f077ba5f83f16a7a896540a061d142fef3a6b,true,true,true,true,true
cancer_6core_relative_qkv_locked_gradient_requests_v1,rqkv-grad-CAN-23-shell-00,CAN-23,-1,mean,5602328,1275205,2279702,24451,24371,81,81,BID,752,752,PLAC8,15.024055072765551,0,"(0,50]",4d38c97e7dcab83f3d4b2cf6c0f94ecdd7e73042f3baea2decc697983a04578b,2399494739613550470,ec13601a3990a0fe79c5766ee7f40fc4f42f909a2129b61940908c6418f7adfe,true,true,true,true,true
